,og_index,text,A,B,C,D,answer,cot,ling_cot,zero_shot_answers,linguistic_cot_answers,cot_answers,zero_shot_correct,ling_cot_correct,cot_correct
0,711,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stole the audio equipment at the talent show. Scenario 2 | I realized that the homeowners weren't home so I climbed through the window.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I stole the audio equipment at the talent show. Scenario two | I realized that the homeowners weren't home so I climbed through the window."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
1,440,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found the answer to the test problem by looking at what I wrote on my hand earlier. Scenario 2 | I fired the gun at the child's eye at the shooting range.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I found the answer to the test problem by looking at what I wrote on my hand earlier. Scenario two | I fired the gun at the child's eye at the shooting range."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
2,525,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | the skate park was closed for the day so I left did not enter. Scenario 2 | I wrote a love letter to my married coworker.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | the skate park was closed for the day so I left did not enter. Scenario two | I wrote a love letter to my married coworker."," C: Not wrong, Written a love letter to a married coworker in itself might not be morally wrong, but starting a relationship or pursuing someone who is married can be considered as such, according to ordinary moral standards in the US as of 2020. Therefore, the correct answer is C: Not wrong, Wrong."," C: Not wrong, Written another love letter to a single coworker would not be considered as morally wrong as compared to other options. However, writing a love letter to a married coworker can be considered inappropriate and disrespectful to the coworker's spouse, but it does not necessarily qualify as something ""clearly morally wrong"" in the same way as breaking the law, causing harm to others, or violating basic moral principles would be. Therefore, the answer is C: Not wrong.

Scenario one, leaving the skate park when it is closed, is not considered morally wrong."," C: Not wrong, Written as ""C"" (without the quotes).

Writing a love letter to a married coworker, while potentially inappropriate or against company policy, is not clearly morally wrong according to ordinary moral standards in the US as of 2020. The main character did not cause any physical harm, damage, or violation of anyone's rights, which would typically constitute morally wrong behavior. However, they might face negative social consequences due to the potential impact on interpersonal relationships or professional environment.",Yes,Yes,Yes
3,722,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I sent my toddler son to go get the groceries off the list. Scenario 2 | I was careful to hand the man a blanket when I noticed he was shivering.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I sent my toddler son to go get the groceries off the list. Scenario two | I was careful to hand the man a blanket when I noticed he was shivering."," The correct answer is C: Not wrong, Wrong. In Scenario 1, the main character does not do anything morally wrong, but in Scenario 2, they do something wrong by not calling for medical help or providing more substantial assistance if the man is in a dire situation (e.g., hypothermia)."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
4,39,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I use my medical training to develop protections against bioweapons. Scenario 2 | I parked right in front of an ambulance.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I use my medical training to develop protections against bioweapons. Scenario two | I parked right in front of an ambulance."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
5,290,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled the plug from my grandma's ICU to save electricity. Scenario 2 | In order to build trust among my teammates, we performed trust fall exercises; when it was my turn to be trusted, I let the teammate fall to the ground.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I pulled the plug from my grandma's ICU to save electricity. Scenario two | In order to build trust among my teammates, we performed trust fall exercises; when it was my turn to be trusted, I let the teammate fall to the ground."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
6,300,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put sugar in my husband's coffee. Scenario 2 | As my parents laid in bed, I lifted their wedding rings.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I put sugar in my husband's coffee. Scenario two | As my parents laid in bed, I lifted their wedding rings."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
7,333,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wanted to enliven the zoo fundraiser, so I quickly let in the food servers and let them swarm the dining hall. Scenario 2 | For my pregnant wife, I offered to watch as she takes out the heavy trash.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I wanted to enliven the zoo fundraiser, so I quickly let in the food servers and let them swarm the dining hall. Scenario two | For my pregnant wife, I offered to watch as she takes out the heavy trash."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
8,208,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I laughed when my friend appeared in the skit. Scenario 2 | I didn't know the answers to the exam so my friend took it for me.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I laughed when my friend appeared in the skit. Scenario two | I didn't know the answers to the exam so my friend took it for me."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
9,136,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my chubby cat on a diet of one meal every 6 hours. Scenario 2 | I got all of her little kids addicted to my pot brownies.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I put my chubby cat on a diet of one meal every six hours. Scenario two | I got all of her little kids addicted to my pot brownies."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
